X,GO_Number,CHEBI,Chebicategory,parents,hasRole,decision,importantCategory
216,GO:0032523,transports_or_maintains_localization_of CHEBI:30584 !silicon(4+),unspecificed cation,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25430;CHEBI:26937;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:26677;CHEBI:37763;CHEBI:30584,NA,unspecificed cation,
217,GO:0034639,transports_or_maintains_localization_of CHEBI:15705 !L-alpha-amino acid,5.A amino acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:33704;CHEBI:15705,CHEBI:75771,5.A amino acid,
218,GO:0046583,has_input CHEBI:36916 ! cation,unspecificed cation,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:36916,NA,unspecificed cation,
219,GO:0015345,transports_or_maintains_localization_of CHEBI:28199 !ferrienterobactin(3-);transports_or_maintains_localization_of CHEBI:24636 !proton,"2.A organic anion,1.C inorganic cation ","CHEBI:24431;CHEBI:23367;CHEBI:33497;CHEBI:33676;CHEBI:33744;CHEBI:24873;CHEBI:36357;CHEBI:37577;CHEBI:33240;CHEBI:33861;CHEBI:33892;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:28199,CHEBI:36342;CHEBI:36347;CHEBI:33252;CHEBI:24431;CHEBI:23367;CHEBI:33259;CHEBI:33238;CHEBI:33579;CHEBI:33674;CHEBI:33608;CHEBI:24835;CHEBI:33260;CHEBI:33251;CHEBI:24870;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25414;CHEBI:36914;CHEBI:36915;CHEBI:60242;CHEBI:15378;CHEBI:36343;CHEBI:36344;CHEBI:36340;CHEBI:36339;CHEBI:33253;CHEBI:24636",CHEBI:76971,"2.A organic anion,1.C inorganic cation",
220,GO:0015623,transports_or_maintains_localization_of CHEBI:5975 !iron chelate,OTHER,CHEBI:24431;CHEBI:23367;CHEBI:33497;CHEBI:33676;CHEBI:33744;CHEBI:24873;CHEBI:36357;CHEBI:37577;CHEBI:33240;CHEBI:33861;CHEBI:33892;CHEBI:5975,NA,OTHER,
221,GO:0019535,transports_or_maintains_localization_of CHEBI:61375 !ferric-vibriobactin,OTHER,CHEBI:24431;CHEBI:23367;CHEBI:33497;CHEBI:33676;CHEBI:33744;CHEBI:24873;CHEBI:36357;CHEBI:37577;CHEBI:33240;CHEBI:33861;CHEBI:33892;CHEBI:5975;CHEBI:84734;CHEBI:61375,NA,OTHER,
222,GO:0042929,transports_or_maintains_localization_of CHEBI:5019 !ferrichrome,5.C peptide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:50047;CHEBI:16670;CHEBI:23449;CHEBI:24613;CHEBI:33497;CHEBI:33676;CHEBI:33744;CHEBI:24873;CHEBI:36357;CHEBI:37577;CHEBI:33240;CHEBI:33861;CHEBI:33892;CHEBI:5975;CHEBI:28163;CHEBI:84734;CHEBI:84688;CHEBI:61414;CHEBI:5019,CHEBI:76971,5.C peptide,
223,GO:0051980,CHEBI:17721   ! nicotianamine,4.B dicarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:27093;CHEBI:33595;CHEBI:5686;CHEBI:33832;CHEBI:24532;CHEBI:33661;CHEBI:33670;CHEBI:25693;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:38101;CHEBI:38777;CHEBI:46891;CHEBI:25427;CHEBI:25520;CHEBI:17721,CHEBI:38161;CHEBI:35457;CHEBI:76924,4.B dicarboxylic acid,
224,GO:0015416,NA,NA,,NA,NA,
225,GO:0042917,transports_or_maintains_localization_of CHEBI:60983 !alkylphosphonate,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:36360;CHEBI:36359;CHEBI:37588;CHEBI:26066;CHEBI:37592;CHEBI:60983,CHEBI:75771,7.B organophosphorus,
