X,GO_Number,CHEBI,Chebicategory,parents,hasRole,decision,importantCategory
1,GO:0005215,NA,NA,,NA,NA,
2,GO:0005319,transports_or_maintains_localization_of CHEBI:18059 !lipid,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059,NA,7.D Other organic,
3,GO:0005326,results_in_transport_of CHEBI:25512 ! neurotransmitter,OTHER,CHEBI:50906;CHEBI:24432;CHEBI:33280;CHEBI:25512,NA,OTHER,
4,GO:0008565,results_in_transport_of CHEBI:36080 ! protein,5.F protein,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:36080,NA,5.F protein,
5,GO:0017089,results_in_transport_of CHEBI:33563 ! glycolipid,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35740;CHEBI:33563,NA,7.D Other organic,
6,GO:0022857,NA,NA,,NA,NA,
7,GO:0034202,NA,NA,,NA,NA,
8,GO:0034437,results_in_transport_of CHEBI:17089 ! glycoprotein,5.F protein,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:36080;CHEBI:33837;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:17089,NA,5.F protein,
9,GO:0005324,transports_or_maintains_localization_of CHEBI:15904 !long-chain fatty acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:18059;CHEBI:35366;CHEBI:15904,NA,4.A monocarboxylic acid,
10,GO:0005548,transports_or_maintains_localization_of CHEBI:16247 !phospholipid,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:18059;CHEBI:16247,NA,7.B organophosphorus,
11,GO:0015125,transports_or_maintains_localization_of CHEBI:3098 !bile acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:64709;CHEBI:47891;CHEBI:36078;CHEBI:36278;CHEBI:136889;CHEBI:36248;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:24663;CHEBI:35350;CHEBI:36587;CHEBI:33285;CHEBI:36962;CHEBI:36963;CHEBI:36586;CHEBI:24833;CHEBI:35605;CHEBI:33575;CHEBI:25384;CHEBI:138366;CHEBI:3098,NA,4.A monocarboxylic acid,
12,GO:0015221,transports_or_maintains_localization_of CHEBI:16412 !lipopolysaccharide,3.C polysaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35740;CHEBI:36357;CHEBI:33839;CHEBI:33694;CHEBI:65212;CHEBI:16412,NA,3.C polysaccharide and derivative,
13,GO:0015245,transports_or_maintains_localization_of CHEBI:35366 !fatty acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:18059;CHEBI:35366,NA,4.A monocarboxylic acid,
14,GO:0015248,transports_or_maintains_localization_of CHEBI:15889 !sterol,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:35350;CHEBI:36834;CHEBI:15889,NA,7.D Other organic,
15,GO:0034040,transports_or_maintains_localization_of CHEBI:18059 !lipid,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059,NA,7.D Other organic,
16,GO:0034632,transports_or_maintains_localization_of CHEBI:50211 !retinol,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:30879;CHEBI:15734;CHEBI:18059;CHEBI:24913;CHEBI:26873;CHEBI:23849;CHEBI:26537;CHEBI:50211,CHEBI:77746,7.D Other organic,
17,GO:0042897,transports_or_maintains_localization_of CHEBI:59062 !polymyxin,5.C peptide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:50047;CHEBI:16670;CHEBI:23449;CHEBI:24533;CHEBI:18059;CHEBI:46895;CHEBI:59062,CHEBI:33282;CHEBI:33281,5.C peptide,
18,GO:0046624,transports_or_maintains_localization_of CHEBI:26739 !sphingolipid,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:26739,NA,7.D Other organic,
19,GO:0090440,transports_or_maintains_localization_of CHEBI:22152 !2-cis-abscisic acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:24913;CHEBI:26873;CHEBI:26658;CHEBI:53183;CHEBI:36758;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:79020;CHEBI:33822;CHEBI:30879;CHEBI:78840;CHEBI:134361;CHEBI:26878;CHEBI:134397;CHEBI:62431;CHEBI:22152,CHEBI:73191,4.A monocarboxylic acid,
20,GO:0120013,CHEBI:18059   ! lipids,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059,NA,7.D Other organic,
21,GO:1905201,transports_or_maintains_localization_of CHEBI:24250 !gibberellin,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:24913;CHEBI:26873;CHEBI:23849;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:24250,CHEBI:37848,7.D Other organic,
22,GO:0001761,transports_or_maintains_localization_of CHEBI:16958 !beta-alanine,5.A amino acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:83820;CHEBI:33706;CHEBI:16958,CHEBI:35222;CHEBI:48705;CHEBI:77746;CHEBI:78675;CHEBI:25512,5.A amino acid,
23,GO:0005277,transports_or_maintains_localization_of CHEBI:15355 !acetylcholine,2.B organic cation,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:35701;CHEBI:33308;CHEBI:47622;CHEBI:33302;CHEBI:51143;CHEBI:24870;CHEBI:36916;CHEBI:36358;CHEBI:33702;CHEBI:35274;CHEBI:25699;CHEBI:25697;CHEBI:35267;CHEBI:35287;CHEBI:15355,CHEBI:35620;CHEBI:38325;CHEBI:24621;CHEBI:77746;CHEBI:75771;CHEBI:25512,2.B organic cation,
24,GO:0005313,transports_or_maintains_localization_of CHEBI:29988 !L-glutamate(2-),2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:29987;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:37022;CHEBI:33558;CHEBI:59814;CHEBI:29988,NA,2.A organic anion,
25,GO:0005328,transports_or_maintains_localization_of CHEBI:29101 !sodium(1+),1.C inorganic cation ,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101,CHEBI:77746,1.C inorganic cation,
26,GO:0015183,transports_or_maintains_localization_of CHEBI:29993 !L-aspartate(2-),2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:61336;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:37022;CHEBI:33558;CHEBI:132943;CHEBI:29995;CHEBI:59814;CHEBI:29993,CHEBI:78675,2.A organic anion,
27,GO:0015185,transports_or_maintains_localization_of CHEBI:16865 !gamma-aminobutyric acid,4.A monocarboxylic acid;5.A amino acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:83820;CHEBI:33707;CHEBI:25384;CHEBI:16865,CHEBI:62488;CHEBI:77746;CHEBI:75772;CHEBI:25512,4.A monocarboxylic acid;5.A amino acid,
28,GO:0015187,transports_or_maintains_localization_of CHEBI:15428 !glycine,5.A amino acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:33704;CHEBI:15705;CHEBI:83813;CHEBI:26650;CHEBI:15428,CHEBI:50733;CHEBI:62868;CHEBI:64570;CHEBI:64571;CHEBI:27027;CHEBI:78675;CHEBI:25512,5.A amino acid,
29,GO:0015220,transports_or_maintains_localization_of CHEBI:15354 !choline,2.B organic cation,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:24870;CHEBI:36916;CHEBI:36357;CHEBI:36358;CHEBI:33702;CHEBI:35274;CHEBI:33582;CHEBI:50860;CHEBI:25699;CHEBI:25697;CHEBI:35267;CHEBI:23217;CHEBI:15354,CHEBI:25512;CHEBI:33284;CHEBI:77746;CHEBI:76924;CHEBI:83056;CHEBI:75772;CHEBI:76971;CHEBI:75771,2.B organic cation,
30,GO:0030184,transports_or_maintains_localization_of CHEBI:16480 !nitric oxide,1.E Other inorganic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:33304;CHEBI:25806;CHEBI:36357;CHEBI:37577;CHEBI:25741;CHEBI:24835;CHEBI:24836;CHEBI:35196;CHEBI:26519;CHEBI:36871;CHEBI:62764;CHEBI:26523;CHEBI:16480,CHEBI:25512;CHEBI:62488;CHEBI:35620;CHEBI:35523;CHEBI:48578;CHEBI:77746;CHEBI:76971;CHEBI:75771,1.E Other inorganic,
31,GO:0070907,exports CHEBI:18295 !histamine;imports CHEBI:27570 !histidine,"5.G Other oganic amino compounds,5.A amino acid","CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:64365;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:38179;CHEBI:38101;CHEBI:68452;CHEBI:23677;CHEBI:24780;CHEBI:18295,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:33704;CHEBI:33595;CHEBI:33655;CHEBI:33832;CHEBI:33659;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:38179;CHEBI:38101;CHEBI:68452;CHEBI:23677;CHEBI:24780;CHEBI:33856;CHEBI:27570",CHEBI:25212,"5.G Other oganic amino compounds,5.A amino acid",
32,GO:0070908,exports CHEBI:15760 !tyramine;imports CHEBI:18186 !tyrosine,"5.G Other oganic amino compounds,5.A amino acid","CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:64365;CHEBI:63534;CHEBI:25375;CHEBI:50994;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:33853;CHEBI:27175;CHEBI:15760,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:33704;CHEBI:33595;CHEBI:33655;CHEBI:33832;CHEBI:33659;CHEBI:33856;CHEBI:18186",CHEBI:83056,"5.G Other oganic amino compounds,5.A amino acid",
33,GO:0008320,results_in_transport_of CHEBI:36080 ! protein,5.F protein,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:36080,NA,5.F protein,
34,GO:0032977,NA,NA,,NA,NA,
35,GO:0042954,transports_or_maintains_localization_of CHEBI:6495 !lipoprotein,5.F protein,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694;CHEBI:33695;CHEBI:36080;CHEBI:33837;CHEBI:50967;CHEBI:39022;CHEBI:39024;CHEBI:6495,CHEBI:76971,5.F protein,
36,GO:0005275,transports_or_maintains_localization_of CHEBI:32952 !amine,5.D amine,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:32952,NA,5.D amine,
37,GO:0005342,transports_or_maintains_localization_of CHEBI:64709 !organic acid,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:64709,NA,7.D Other organic,
38,GO:0010290,NA,NA,,NA,NA,
39,GO:0015075,transports_or_maintains_localization_of CHEBI:24870 !ion,1.A Nonselective,CHEBI:24431;CHEBI:23367;CHEBI:24870,NA,1.A Nonselective,
40,GO:0015144,transports_or_maintains_localization_of CHEBI:16646 !carbohydrate,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:16646,NA,7.D Other organic,
41,GO:0015152,CHEBI:14314 !D-glucose 6-phosphate,3.A monosaccharide and derivative;7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:25710;CHEBI:25703;CHEBI:35701;CHEBI:37734;CHEBI:26816;CHEBI:33447;CHEBI:63385;CHEBI:47878;CHEBI:47877;CHEBI:15965;CHEBI:4195;CHEBI:2559;CHEBI:17348;CHEBI:35131;CHEBI:21037;CHEBI:21008;CHEBI:21006;CHEBI:14314,CHEBI:78675,7.B organophosphorus,
42,GO:0015203,transports_or_maintains_localization_of CHEBI:51349 !polyamine macromolecule,5.G Other oganic amino compounds,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:51349,NA,5.G Other oganic amino compounds,
43,GO:0015205,transports_or_maintains_localization_of CHEBI:18282 !nucleobase,6.A nucleobase,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:5686;CHEBI:72695;CHEBI:33832;CHEBI:24532;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:38101;CHEBI:18282,NA,6.A nucleobase,
44,GO:0015238,results_in_transport_of CHEBI:23888 ! drug,OTHER,CHEBI:50906;CHEBI:33232;CHEBI:52217;CHEBI:23888,NA,OTHER,
45,GO:0015318,transports_or_maintains_localization_of CHEBI:24835 !inorganic molecular entity,1.E Other inorganic,CHEBI:24431;CHEBI:23367;CHEBI:24835,NA,1.E Other inorganic,
46,GO:0015548,transports_or_maintains_localization_of CHEBI:25706 !organomercury compound,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33497;CHEBI:33676;CHEBI:33673;CHEBI:25196;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:25707;CHEBI:25706,NA,7.D Other organic,
47,GO:0015562,NA,NA,,NA,NA,
48,GO:0015603,transports_or_maintains_localization_of CHEBI:5975 !iron chelate,OTHER,CHEBI:24431;CHEBI:23367;CHEBI:33497;CHEBI:33676;CHEBI:33744;CHEBI:24873;CHEBI:36357;CHEBI:37577;CHEBI:33240;CHEBI:33861;CHEBI:33892;CHEBI:5975,NA,OTHER,
49,GO:0015604,transports_or_maintains_localization_of CHEBI:26066 !phosphonate,OTHER,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:37588;CHEBI:26066,NA,OTHER,
50,GO:0015605,transports_or_maintains_localization_of CHEBI:25703 !organic phosphate,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703,NA,7.B organophosphorus,
51,GO:0015621,"transports_or_maintains_localization_of CHEBI:60481 !N',N'',N'''-triacetylfusarinine C",7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33497;CHEBI:33676;CHEBI:33744;CHEBI:24873;CHEBI:36357;CHEBI:37577;CHEBI:33240;CHEBI:33861;CHEBI:33892;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:60481,NA,7.D Other organic,
52,GO:0015932,transports_or_maintains_localization_of CHEBI:61120 !nucleobase-containing molecular entity,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:61120,NA,7.D Other organic,
53,GO:0017077,NA,NA,,NA,NA,
54,GO:0019534,results_in_transport_of CHEBI:27026 ! toxin,OTHER,CHEBI:50906;CHEBI:24432;CHEBI:64909;CHEBI:52206;CHEBI:25212;CHEBI:27026,NA,OTHER,
55,GO:0022803,NA,NA,,NA,NA,
56,GO:0022804,NA,NA,,NA,NA,
57,GO:0022884,transports_or_maintains_localization_of CHEBI:33694 !biomacromolecule,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:33839;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33694,NA,7.D Other organic,
58,GO:0033569,NA,NA,,NA,NA,
59,GO:0042887,transports_or_maintains_localization_of CHEBI:32988 !amide,7.C amide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:32988,NA,7.C amide,
60,GO:0042910,NA,NA,,NA,NA,
61,GO:0042971,transports_or_maintains_localization_of CHEBI:25000 !lactone,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:35701;CHEBI:33308;CHEBI:33595;CHEBI:5686;CHEBI:33832;CHEBI:24532;CHEBI:38104;CHEBI:25000,NA,7.D Other organic,
62,GO:0051184,NA,NA,,NA,NA,
63,GO:0071917,CHEBI:35131 !aldose phosphate ,3.A monosaccharide and derivative;7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:63367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:25710;CHEBI:25703;CHEBI:35701;CHEBI:37734;CHEBI:26816;CHEBI:33447;CHEBI:35131,NA,7.B organophosphorus,
64,GO:0072349,transports_or_maintains_localization_of CHEBI:83821 !amino acid derivative,5.B amino acid derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:83821,NA,5.B amino acid derivative,
65,GO:0080161,CHEBI:22676   ! auxins,OTHER,CHEBI:50906;CHEBI:24432;CHEBI:33280;CHEBI:52210;CHEBI:48705;CHEBI:24621;CHEBI:39317;CHEBI:26155;CHEBI:37848;CHEBI:22676,NA,OTHER,
66,GO:0090482,CHEBI:33229   ! vitamin,OTHER,CHEBI:50906;CHEBI:24432;CHEBI:52211;CHEBI:78295;CHEBI:33284;CHEBI:27027;CHEBI:52206;CHEBI:33229,NA,OTHER,
